address,longitude,latitude,notes
207 E 1st St,-118.242227,34.051391, 
209 E 1st St,-118.242167,34.051351, 
214 N Main St,-118.242413,34.053363, 
222 N Main St,-118.242336,34.053443, 
231 W 1st St,-118.244744,34.053156, 
253 S Main St,-118.245473,34.050078, 
28 E 1st St Street,-118.243507,34.052211,geocoding is 100 E 1st St
316 N Main St,-118.241074,34.054744, 
325 Commercial,-118.237391,34.053519,LACR has change of address in Feb. LACD only Commercial
322 N Main St,-118.240874,34.054944, 
327 N Main St,-118.240740,34.055078, 
41-43 N Main St,-118.243507,34.052211, Geocoding is 100 N Main St 90012
525 W 7th St,-118.256148,34.047230, 
619 S Central Ave,-118.240051,34.038629,latlon.net
676 Upper Main St,-118.237858,34.058245,geocoding is N main;
